con1	con1	trt1	trt2
KHDC4	18.26	32.91	30.62	30.3
APCS	0	0	0	0
NASP	252.57	174.19	198.84	192.64
PATJ	0.8	1.17	0.29	0.13
KANK4	0.02	0.27	0.05	0
CPLANE2	0.61	0.73	1.14	1.78
CHRM3	0	0	0	0.11
DSTYK	4.61	4.62	5.19	5.41
LGR6	0	0	0	0
EPHB2	11.02	13.64	13.39	16.51
SRRM1	93.32	83.44	70.35	84.83
REG4	0	0.04	0	0
GSTM3	28.85	40.33	89.79	92.01
VAV3	0.1	0.2	0.41	0.9
PSRC1	28.34	16.72	5.08	4.72
PTPN22	0.58	0.29	0.16	0.06
SORT1	19.79	16.27	29.62	28.83
WNT2B	0.08	0.32	0.06	0.14
PTGFRN	57.06	53.82	44.7	45.82
LAMTOR5	127.56	125.44	162.87	158.59
NOTCH2	39.98	28.78	33.66	34.08
CD101	0.82	1.44	0.78	0.12
NGF	20.7	37.8	29	30.51
NAV1	33.95	46.18	39.63	36.74
CDC73	22.8	26.34	28.89	28.77
PUM1	43.12	48.12	50.17	46.95
SPOCD1	13.88	13.11	0.66	0.54
PHC2	81.11	56.27	75.94	71.58
GNL2	94.38	73.91	77.52	81.58
TUT4	20.23	18.12	24.1	25.71
PCNX2	2.07	4.49	6.57	6.26
URB2	9.38	7.38	4.92	6.04
EGLN1	22.17	27.44	57.2	60.84
ABCB10	12.24	10.14	13.55	13.17
NTPCR	40.19	33.23	31.52	32.3
GLUL	114.83	100.9	154.15	150.43
KIAA1614	0.55	0.4	0.15	0.13
CEP350	7.93	6.27	8.72	8.78
NPL	2.99	1.64	2.95	1.36
NIBAN1	21.89	21.49	14.32	15.25
PIGC	18.21	15.31	11.85	10.56
LAMC1	98.05	117.85	143.66	167.33
RC3H1	2.52	3.22	5.1	4.53
IL10	0	0	0	0
RPS6KC1	10.18	13.27	16.92	16.36
BCAR3	36.74	49.97	51.27	54.8
FNBP1L	14.08	16.21	22.76	21.19
KYAT3	11.28	7.83	13.43	12.07
GTF2B	21.63	17.53	29.4	26.56
BRDT	0	0	0	0
IFI44L	0.36	0.69	0	0.25
ARHGAP29	2.37	1.98	6.7	5.32
IFI44	10.53	8.75	4.91	7.09
SLC44A5	0.06	0.05	0.15	0.22
DNASE2B	0	0	0	0
DBT	8.06	8.55	14.32	12.15
IL19	0	0	0	0
SLC2A5	0.87	0.14	0.13	0.13
RERE	45.5	39.76	33.67	30.64
FHAD1	1.63	2.07	2.84	1.22
PADI1	0.28	0.39	0.1	0.11
EPHA2	13.08	22.88	24.87	23.79
ARHGEF19	7.97	8.69	4.9	3.77
PEX14	22.04	18.78	14.79	13.93
PGD	160.72	157.06	209.1	200.63
SH3BGRL3	397.65	394.1	520.64	556.55
C1orf216	14.39	16.83	16.07	16.75
KIAA0319L	15.77	24.8	44.47	43.62
EVA1B	19.07	15.47	20.09	21.38
DMRTA2	0.65	0.55	0.22	0.13
MAP3K6	11.35	12.65	9.53	11.23
GPN2	30.68	25.3	29.95	25.77
SYTL1	0.19	0.35	0.22	0.03
WDTC1	11.2	14.1	17.45	18.55
NBPF3	3.15	4.31	5.83	4.27
HSPG2	42.69	59.15	39.72	38.31
PRKACB	5.53	7.05	11.98	10.85
AZIN2	3.06	3.36	6.93	4.6
DMRTB1	0.03	0	0	0
LMO4	38.52	55.68	57.38	47.93
